price,rooms,year built,kr/m2,m2,datetime,postal_code,Loan interest rate,Inflation,Salary,GDP,category
2340000.0,2.0,2007.0,32958.0,71.0,2017-03-20,2300.0,0.1,0.3,100.8,495.4,29
5250000.0,4.0,1885.0,42339.0,124.0,2017-03-20,1665.0,0.1,0.3,100.8,495.4,31
2845000.0,3.0,2017.0,32701.0,87.0,2017-03-20,2880.0,0.1,0.3,100.8,495.4,1
3495000.0,3.0,1939.0,44808.0,78.0,2017-03-20,2200.0,0.1,0.3,100.8,495.4,27
5750000.0,4.0,1915.0,43233.0,133.0,2017-03-19,2100.0,0.1,0.3,100.8,495.4,32
4584900.0,4.0,1915.0,40937.0,112.0,2017-03-19,2100.0,0.1,0.3,100.8,495.4,32
885000.0,1.0,1973.0,21071.0,42.0,2017-03-19,2630.0,0.1,0.3,100.8,495.4,44
2927000.0,1.0,1961.0,38513.0,76.0,2017-03-19,2300.0,0.1,0.3,100.8,495.4,29
1200000.0,2.0,1972.0,19048.0,63.0,2017-03-19,2650.0,0.1,0.3,100.8,495.4,18
1051000.0,1.0,1960.0,20212.0,52.0,2017-03-19,2610.0,0.1,0.3,100.8,495.4,38
1600000.0,3.0,1986.0,23188.0,69.0,2017-03-19,2620.0,0.1,0.3,100.8,495.4,0
1400000.0,4.0,1978.0,13462.0,104.0,2017-03-19,2980.0,0.1,0.3,100.8,495.4,24
1470000.0,3.0,1966.0,17093.0,86.0,2017-03-19,2665.0,0.1,0.3,100.8,495.4,47
